Type,Name,File,Feature,Tested,StaticChecked,RuntimeChecked,Status,FindingIDs,Notes
Модуль,foodMicros.js,src/lib/foodMicros.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,foods.js,src/lib/foods.js,логика,да,да,да (node --test),🚨 ISSUE FOUND,UX-001,"Покрыт автотестами, все зелёные."
Модуль,friendView.js,src/lib/friendView.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,fuzzy.js,src/lib/fuzzy.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,hlc.js,src/lib/hlc.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,insights.js,src/lib/insights.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,lazyWithReload.js,src/lib/lazyWithReload.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,library.js,src/lib/library.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,localCache.js,src/lib/localCache.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,log.js,src/lib/log.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,mealCard.js,src/lib/mealCard.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,meals.js,src/lib/meals.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,messaging.js,src/lib/messaging.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,microSummary.js,src/lib/microSummary.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,micronutrients.js,src/lib/micronutrients.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,notificationModel.js,src/lib/notificationModel.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,notifications.js,src/lib/notifications.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,nutrition.js,src/lib/nutrition.js,логика,да,да,да (node --test),🚨 ISSUE FOUND,BUG-001,"Покрыт автотестами, все зелёные."
Модуль,nutritionClassification.js,src/lib/nutritionClassification.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,pgErrors.js,src/lib/pgErrors.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,profileLists.js,src/lib/profileLists.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,reactions.js,src/lib/reactions.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,realtime.js,src/lib/realtime.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,relationship.js,src/lib/relationship.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,shareCard.js,src/lib/shareCard.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,social.js,src/lib/social.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,stats.js,src/lib/stats.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,storeContext.js,src/lib/storeContext.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,streaks.js,src/lib/streaks.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,subscription.js,src/lib/subscription.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,supabase.js,src/lib/supabase.js,логика,нет,да,нет,🚨 ISSUE FOUND,PRIV-002,Автотестов нет — только статический разбор.
Модуль,suppStack.js,src/lib/suppStack.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,supplements.js,src/lib/supplements.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,swUpdate.js,src/lib/swUpdate.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,syncEngine.js,src/lib/syncEngine.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,syncModel.js,src/lib/syncModel.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,syncTestKit.js,src/lib/syncTestKit.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,tabBus.js,src/lib/tabBus.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,text.js,src/lib/text.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,tour.js,src/lib/tour.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,useScrollLock.js,src/lib/useScrollLock.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,useSheetDrag.js,src/lib/useSheetDrag.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,useSwipeBack.js,src/lib/useSwipeBack.js,логика,нет,да,нет,⚠️ PARTIALLY AUDITED,,Автотестов нет — только статический разбор.
Модуль,uuid.js,src/lib/uuid.js,логика,да,да,да (node --test),✅ AUDITED,,"Покрыт автотестами, все зелёные."
Модуль,web3Config.js,src/lib/web3Config.js,логика,нет,да,нет,🚨 ISSUE FOUND,DEP-001,Автотестов нет — только статический разбор.
API,POST /api/ai/chat,api/ai/chat.js,AI-чат,нет,да,нет,🚨 ISSUE FOUND,SEC-001,"Проверено: метод, аутентификация, авторизация, валидация, лимиты, утечка ошибок."
