ID,Severity,Category,Title,File,Line,AffectedFeature,Impact,Reproduction,Recommendation,Confidence,Status
SEC-005,P3,Приватность / блокировка,Блокировка не распространяется на общие групповые диалоги,"supabase/setup_all.sql — политики ""messages select"" и ""messages insert"" (последние редакции)",,Блокировка · групповые диалоги,"Канал для преследования в обход блокировки. Практический риск существенно снижен тем, что попасть в общую группу с заблокировавшим непросто: нужен посредник, на которого жертва подписана. Поэтому P3, а не P2.","1. A и B состоят в группе, созданной третьим человеком C. ⏎ 2. A блокирует B. ⏎ 3. B пишет в группу. ⏎ 4. A видит сообщение B в общей ленте группы.","Распространить проверку на оба направления: ⏎  ⏎ -- чтение: скрывать сообщения заблокированных и в группах ⏎ and not public.is_blocked_between(sender, auth.uid()) ⏎    -- вместо (recipient is null or not …) ⏎  ⏎ -- отправка: в группе тоже учитывать блокировку хотя бы попарно ⏎ … or (conversation_id is not null ⏎       and public.is_conversation_member(conversation_id, auth.uid())) ⏎  ⏎ Замечание по проектированию: полный запрет отправки в группу при блокировке хотя бы одним участником спорен (это наказывает остальных). Практичнее оставить отправку, но ГАРАНТИРОВАННО скрывать сообщения от того, кто заблокировал, — то есть поправить прежде всего политику чтения.",HIGH,CONFIRMED
DEP-001,P3,Зависимости / мёртвый код,"Неиспользуемый стек Web3 приносит 12 из 17 уязвимостей npm и чанк на 2,68 МБ в каждой сборке",package.json (зависимости @reown/appkit,,Вход через кошелёк,"Прямой эксплуатации нет: уязвимый код не исполняется, потому что чанк не загружается. Значение практическое — 12 предупреждений npm audit делают отчёт бесполезным как сигнал: настоящую проблему в нём не заметят. Плюс время сборки и объём артефактов.","npm audit; npm run build и посмотреть на размер чанка Web3Button.","Принять решение, а не оставлять как есть. ⏎ • Если Web3-вход не нужен — удалить 5 зависимостей, src/lib/appkit.js, src/lib/web3Config.js, src/components/Web3Button.jsx и ветку с Web3ErrorBoundary в AuthSheet.jsx, а также строку про Reown/WalletConnect из правовых документов. Это снимает 12 из 17 предупреждений и 2,68 МБ сборки. ⏎ • Если нужен — задать и задокументировать VITE_WALLETCONNECT_PROJECT_ID, обновить .env.example и провести отдельный аудит этого пути входа (сейчас он не проверялся, поскольку выключен).",HIGH,CONFIRMED
A11Y-001,P3,Доступность (WCAG 2.2 AA),Кнопки-символы «←» и «✕» не имеют доступного имени,src/components/AddMealSheet.jsx,1005,"Навигация внутри листов, закрытие листов","Экран добавления еды — основной сценарий приложения; для незрячего пользователя навигация по нему становится угадыванием. Правка тривиальна.",1. Включить VoiceOver (iOS/macOS) или TalkBack. ⏎ 2. Открыть Дневник → «+» → выбрать продукт. ⏎ 3. Пройти по элементам экрана свайпом — кнопка возврата читается как «кнопка» без назначения.,"Добавить aria-label в перечисленные места: ⏎   <button className=""tap44"" aria-label=""Назад"" onClick={onBack}>←</button> ⏎   <button className=""iconbtn"" aria-label=""Закрыть"" onClick={close}>✕</button> ⏎  ⏎ Заодно проверить размер области нажатия: класс tap44 намекает на 44 px, но у кнопок на AddMealSheet.jsx:2128 и 2199 явно задан minHeight: 32 — это ниже рекомендованных 44×44 (WCAG 2.5.8 Target Size).",HIGH,CONFIRMED
SEC-006,P3,Защита в глубину,"CSP разрешает unsafe-inline и unsafe-eval, connect-src открыт на любой https",vercel.json,10,Заголовки безопасности,"Сегодня эксплуатируемой уязвимости нет — это именно потеря защиты в глубину. Значение вырастет, как только в проекте появится сторонний виджет или отрисовка пользовательской разметки.",Проверка заголовков ответа: curl -I https://www.eataps.com | grep -i content-security-policy.,"Попробовать убрать 'unsafe-eval' и проверить, что сборка работает (Vite в проде eval не требует; требовал его, скорее всего, AppKit — а он выключен). ⏎ connect-src сузить до фактических адресатов: ⏎   connect-src 'self' https://<project>.supabase.co wss://<project>.supabase.co https://ru.openfoodfacts.org https://api.anthropic.com; ⏎ (запросы к Anthropic идут с сервера, так что его в connect-src может и не потребоваться — проверить по факту). ⏎ 'unsafe-inline' в script-src убирается сложнее (нужны хэши или nonce); при отсутствии инлайн-скриптов в index.html — попробовать снять и проверить.",HIGH,CONFIRMED
SEC-007,P3,Проверка входных данных,"Тип загружаемой в AI картинки проверяется только по заявленному media_type, без сигнатуры файла",api/ai/vision.js,19,Распознавание еды по фото,"Низкий: платит бюджетом сам отправитель, хранения нет. Ценность правки — экономия вызова и более честная ошибка пользователю.","Отправить POST /api/ai/vision с { image: { media_type: ""image/jpeg"", data: <base64 произвольных байт> } } — запрос дойдёт до вызова модели, и её отказ будет оплачен из бюджета пользователя.","Сверить первые байты base64 с сигнатурой: ⏎  ⏎ const MAGIC = { ⏎   'image/jpeg': [[0xFF, 0xD8, 0xFF]], ⏎   'image/png':  [[0x89, 0x50, 0x4E, 0x47]], ⏎   'image/webp': [[0x52, 0x49, 0x46, 0x46]],   // RIFF, далее WEBP на смещении 8 ⏎ } ⏎ const head = Buffer.from(image.data.slice(0, 24), 'base64') ⏎ const ok = MAGIC[image.media_type].some((sig) => sig.every((b, i) => head[i] === b)) ⏎ if (!ok) return res.status(400).json({ error: 'bad_image', message: 'Файл не похож на изображение.' })",HIGH,CONFIRMED
UX-002,P3,Согласованность состояния,Оптимистичные переключатели приватности могут рассинхронизироваться с сервером при быстром переключении и ошибке,src/components/social/PrivacyHub.jsx,80,Профиль → Приватность,"Для настроек приватности цена расхождения выше обычной: человек видит «закрыто», а на сервере открыто (или наоборот) и принимает решение по неверной картинке. Именно об этом предупреждает комментарий в шапке самого файла — «тумблер, который визуально меняется, но ничего не закрывает, вреднее пустого места».","1. Профиль → Приватность. ⏎ 2. В DevTools включить троттлинг и отключить сеть на секунду. ⏎ 3. Дважды быстро переключить «Закрытый аккаунт». ⏎ 4. Первый запрос падает, второй проходит — экран показывает исходное значение, сервер хранит второе.","Перечитывать состояние с сервера после ошибки вместо отката к запомненному значению — это надёжнее любого сравнения меток: ⏎  ⏎ const patch = async (next, fn) => { ⏎   setP((cur) => ({ ...cur, ...next })) ⏎   setErr(null) ⏎   const res = await fn() ⏎   if (res?.error) { setErr(res.error); await load() }   // ← источник истины у сервера ⏎ } ⏎  ⏎ Дополнительно — блокировать повторное нажатие на время запроса.",MEDIUM,PROBABLE
CFG-001,P3,Конфигурация / приватность владельца,Личные Telegram chat ID записаны в исходном коде и продублированы как значение по умолчанию,api/feedback.js,5,Поддержка и обратная связь,"Не даёт прав: стать администратором бота, зная chat_id, нельзя — бот пишет В эти чаты, а не слушает их. Практическое значение — раскрытие личного идентификатора владельца и расхождение двух точек конфигурации: смена TG_ADMIN_CHAT_IDS не изменит адресатов api/feedback.js.","grep -n ""571138125"" api/","В api/feedback.js импортировать общий список и убрать локальную константу: ⏎  ⏎ import { ADMIN_CHAT_IDS, sendMessage } from './telegram/_tg.js' ⏎ … ⏎ const results = await Promise.all(ADMIN_CHAT_IDS.map((id) => sendMessage(id, msg))) ⏎  ⏎ В _tg.js убрать запасное значение: при незаданной переменной честнее упасть с понятной ошибкой, чем молча писать в чужой чат.",HIGH,CONFIRMED
DB-002,P3,Практика написания SQL,Восемь триггерных функций объявлены без set search_path,supabase/setup_all.sql — guard_app_state_update,,Триггеры целостности и ограничения частоты,"Практического пути эксплуатации не найдено: функции не повышают прав, и подмена search_path даёт злоумышленнику ровно его собственные права. Это гигиена и чистота отчёта линтера.",Запустить линтер Supabase (Database → Advisors) либо разбор определений функций.,"Дописать `set search_path = public` в объявления перечисленных функций. Правку делать В МИГРАЦИЯХ, а не в setup_all.sql (см. DB-001), и пересобрать файл.",HIGH,CONFIRMED
UX-003,P3,Перечисление пользователей,"Поиск по префиксу позволяет перебрать базу пользователей; ограничения частоты на поиск нет",supabase/setup_all.sql — search_users (последняя редакция),,Поиск людей,"Своего рода плата за любой поиск людей — полностью закрыть, не сломав функцию, нельзя. Значение возрастает при росте базы: готовый список ников и аватаров — сырьё для рассылки и подбора целей. Приватные данные (дневник, записи, переписка) при этом не раскрываются: их закрывают отдельные предикаты, проверенные в этом аудите.","Перебрать p_query по всем двухбуквенным сочетаниям, вызывая RPC search_users с обычным аккаунтом.","Добавить ограничение частоты на поиск — по образцу уже имеющихся триггеров, но для функции: ⏎ • таблица search_log (user_id, at) и проверка «не более N вызовов в минуту» внутри search_users; ⏎ • либо ограничение на уровне платформы (Vercel Firewall / Supabase rate limit) для этого RPC. ⏎ Разумный порог — 30–60 поисков в минуту: живому человеку хватает с запасом, перебор становится непрактичным.",HIGH,CONFIRMED
AI-001,P3,Безопасность AI,"Границы медицинской безопасности заданы только промптом; серверной проверки ответа нет",src/lib/aiPrompt.js,282,AI-ассистент,"Приложение работает с питанием и весом, то есть с областью, где неудачный совет достигает уязвимой аудитории. Промпт написан ответственно и снижает риск, но один рубеж для такой темы — мало.","Требуется живой прогон с попытками обойти инструкции промпта; в рамках этого аудита не выполнялся.","Добавить второй рубеж на сервере, дёшево и без второй модели: ⏎ 1. Проверка чисел в ответе: если в cards или reply предлагается суточная норма ниже порога из промпта — заменять на безопасный текст. ⏎ 2. Список признаков кризисной темы (самоповреждение, суицид, полный отказ от еды) в ВОПРОСЕ пользователя: при совпадении отвечать заготовленным текстом с контактами помощи, не обращаясь к модели вовсе. Так делают потому, что именно на этих запросах поведение модели наименее предсказуемо, а цена ошибки наибольшая. ⏎ 3. Зафиксировать в правовых текстах, что ассистент не является медицинской консультацией (сейчас этого нет ни в AGB, ни в Datenschutz).",HIGH,CONFIRMED
CODE-001,P4,Мёртвый код,"src/lib/exchange.js — 311 строк экспорта и импорта CSV, не подключённых ни к одному экрану",src/lib/exchange.js (весь файл),,—,"Нулевой для пользователя. Для сопровождения — ложное впечатление, что импорт и экспорт CSV в приложении есть.","grep -rn ""exchange"" src/","Решить одно из двух: либо подключить (готовый CSV-экспорт заметно полезнее нынешнего JSON и частично закрывает PRIV-003 — особенно buildMealsCsv), либо удалить файл. Учитывая PRIV-003, подключение выглядит осмысленнее удаления.",HIGH,CONFIRMED
PERF-001,P4,Производительность,"Главный чанк 1,15 МБ (341 КБ в gzip); разбиение на части не настроено",vite.config.js,,Первая загрузка,"На медленной мобильной сети — ощутимая задержка первого показа. Смягчено service worker-ом, который кэширует ядро после первого визита, поэтому страдает только первое открытие.",npm run build,"Вынести справочник и тяжёлые экраны: ⏎  ⏎ // vite.config.js ⏎ build: { ⏎   rollupOptions: { ⏎     output: { ⏎       manualChunks: { ⏎         supabase: ['@supabase/supabase-js'], ⏎         foods: ['./src/lib/foods.js', './src/lib/foodMicros.js'], ⏎       }, ⏎     }, ⏎   }, ⏎ } ⏎  ⏎ Плюс ленивая загрузка AddMealSheet (2 267 строк, открывается по кнопке, а не на первом экране) — в проекте уже есть lazyWithReload ровно для этого.",HIGH,CONFIRMED
